location,age_range,gender,wb_population_estimate,wb_year,wb_total_population,wb_male_percentage,wb_female_percentage
Germany,All,All,83901923,2023,83901923,49.3751808952691,50.6248191047309
Germany,All,male,41426726,2023,83901923,49.3751808952691,50.6248191047309
Germany,All,female,42475196,2023,83901923,49.3751808952691,50.6248191047309
Germany,18-24,All,17701735,2023,83901923,49.3751808952691,50.6248191047309
Germany,18-24,male,8740263,2023,83901923,49.3751808952691,50.6248191047309
Germany,18-24,female,8961471,2023,83901923,49.3751808952691,50.6248191047309
Germany,25-34,All,17701735,2023,83901923,49.3751808952691,50.6248191047309
Germany,25-34,male,8740263,2023,83901923,49.3751808952691,50.6248191047309
Germany,25-34,female,8961471,2023,83901923,49.3751808952691,50.6248191047309
Germany,35-54,All,17701735,2023,83901923,49.3751808952691,50.6248191047309
Germany,35-54,male,8740263,2023,83901923,49.3751808952691,50.6248191047309
Germany,35-54,female,8961471,2023,83901923,49.3751808952691,50.6248191047309
Germany,55+,All,19121285,2023,83901923,49.3751808952691,50.6248191047309
Germany,55+,male,9441169,2023,83901923,49.3751808952691,50.6248191047309
Germany,55+,female,9680116,2023,83901923,49.3751808952691,50.6248191047309
Spain,All,All,48347910,2023,48347910,49.0996623363287,50.9003376636713
Spain,All,male,23738660,2023,48347910,49.0996623363287,50.9003376636713
Spain,All,female,24609249,2023,48347910,49.0996623363287,50.9003376636713
Spain,18-24,All,10650664,2023,48347910,49.0996623363287,50.9003376636713
Spain,18-24,male,5229440,2023,48347910,49.0996623363287,50.9003376636713
Spain,18-24,female,5421224,2023,48347910,49.0996623363287,50.9003376636713
Spain,25-34,All,10650664,2023,48347910,49.0996623363287,50.9003376636713
Spain,25-34,male,5229440,2023,48347910,49.0996623363287,50.9003376636713
Spain,25-34,female,5421224,2023,48347910,49.0996623363287,50.9003376636713
Spain,35-54,All,10650664,2023,48347910,49.0996623363287,50.9003376636713
Spain,35-54,male,5229440,2023,48347910,49.0996623363287,50.9003376636713
Spain,35-54,female,5421224,2023,48347910,49.0996623363287,50.9003376636713
Spain,55+,All,9985635,2023,48347910,49.0996623363287,50.9003376636713
Spain,55+,male,4902913,2023,48347910,49.0996623363287,50.9003376636713
Spain,55+,female,5082722,2023,48347910,49.0996623363287,50.9003376636713
France,All,All,68287487,2023,68287487,48.4690810512727,51.5309189487273
France,All,male,33098317,2023,68287487,48.4690810512727,51.5309189487273
France,All,female,35189169,2023,68287487,48.4690810512727,51.5309189487273
France,18-24,All,13991213,2023,68287487,48.4690810512727,51.5309189487273
France,18-24,male,6781412,2023,68287487,48.4690810512727,51.5309189487273
France,18-24,female,7209800,2023,68287487,48.4690810512727,51.5309189487273
France,25-34,All,13991213,2023,68287487,48.4690810512727,51.5309189487273
France,25-34,male,6781412,2023,68287487,48.4690810512727,51.5309189487273
France,25-34,female,7209800,2023,68287487,48.4690810512727,51.5309189487273
France,35-54,All,13991213,2023,68287487,48.4690810512727,51.5309189487273
France,35-54,male,6781412,2023,68287487,48.4690810512727,51.5309189487273
France,35-54,female,7209800,2023,68287487,48.4690810512727,51.5309189487273
France,55+,All,14851942,2023,68287487,48.4690810512727,51.5309189487273
France,55+,male,7198600,2023,68287487,48.4690810512727,51.5309189487273
France,55+,female,7653342,2023,68287487,48.4690810512727,51.5309189487273
